Sentence,fuel,machine,others,part,price,service
"Kuring make 2014 Honda Jazz GK5 (mimiti dibuka). mobil téh alus tur nice nurutkeun motto, senang ngajalankeun",neutral,neutral,positive,neutral,neutral,neutral
Kunaon Avanza boros bensin kitu? Karék dieusian satengah jalan.,negative,neutral,neutral,neutral,neutral,neutral
"Saran kuring sareng pangalaman kuring, langkung saé mésér mobil komersial L300 atanapi Canter. ekonomis jeung bandel.",positive,positive,neutral,neutral,neutral,neutral
"Tina segi harga, Pajero ogé 30 juta langkung mahal tibatan Fortuner",neutral,neutral,neutral,neutral,positive,neutral
Pajero mah ngeunah,neutral,neutral,positive,neutral,neutral,neutral
Vérsi nagara ieu CH - R teu patut eta dina hal fitur sarta completeness,neutral,neutral,neutral,negative,neutral,neutral
"@LinaRadj cobian bengkel Daihatsu sakalian, hoyong pisan. jasa hadé.",neutral,neutral,neutral,neutral,neutral,positive
Éta langkung saé upami confero langkung mirah tibatan formo.,neutral,neutral,neutral,neutral,negative,neutral
"Lamun datang ka layanan, éta hadé pikeun milih Grand Livina sabab layanan purna jual gampang tur gancang",neutral,neutral,neutral,neutral,neutral,positive
Lampu hareup Grand New Veloz ogé nampi parobahan desain sareng katingalina langkung agrésif sareng rada nangtung,neutral,neutral,neutral,positive,neutral,neutral
Motor Beat mah ngiring kamana wae sareng nu penting mah bahan bakarna ramah lingkungan sareng saku sareng tarikna sae pisan.,positive,positive,neutral,neutral,neutral,neutral
"Xenia taun 2008 mudik ti Jakarta ka Bandung, aki tetep aman.",neutral,neutral,neutral,positive,neutral,neutral
#YamahaID Perawatan Motor Yamaha Injeksi Gampang sareng Murah,neutral,neutral,neutral,neutral,neutral,positive
"Pikeun kota, Xpander alus sabab modélna tenang jeung boga kesan mobil kota",neutral,neutral,neutral,positive,neutral,neutral
"Pajak Brio langkung mirah sabab CKD dibandingkeun sareng Ignis atanapi Sirion anu CBU, pajakna rada mahal sareng suku cadangna rada hese atanapi lami ngaku asuransi.",neutral,neutral,neutral,negative,negative,neutral
Toyota meunang harga lamun bakal dijual engké,neutral,neutral,neutral,neutral,positive,neutral
All New Toyota Kijang Innova G Diesel 2017. mesin nekad jeung ekonomis Otolovers '.,positive,positive,neutral,neutral,neutral,neutral
"Utamana Daihatsu Xenia Sporty Manual, khususna anu pang anyarna, salain irit BBM, sora mesinna lancar. Narik langkung saé tibatan generasi sateuacana sareng akselerasi lumayan saé sareng variasina henteu monoton atanapi sibuk.",positive,positive,neutral,positive,neutral,neutral
"Pikeun ayeuna, Great New Xenia parantos ngagaduhan fasilitas anu luar biasa kalayan harga anu ramah, bahkan langkung mirah tibatan pesaingna",neutral,neutral,neutral,positive,positive,neutral
"Kuring boga mobil Altis nu teu lepas lila, sanggeus ngan sataun ngarecah.",neutral,neutral,negative,neutral,neutral,neutral
"Abdi Xenia tipe xi yuswa 1,5 taun sarta rada reueus kinerja na",neutral,positive,neutral,neutral,neutral,neutral
"Palayanan rutin ka bengkel resmi Daihatsu sanés jaminan ogé, rem abdi gagal nalika nuju jalan,",neutral,neutral,neutral,neutral,neutral,negative
"Kuring make karimun, adina mah make brio. Karimun memang leuwih nyaman sanajan hargana leuwih murah batan Brio.",neutral,neutral,positive,neutral,positive,neutral
"Awak sareng penampilan Avanza énggal saé, bos",neutral,neutral,neutral,positive,neutral,neutral
"Pikeun lila, Toyota geus salawasna nyadiakeun produk super mahal jeung fitur biasa",neutral,neutral,neutral,negative,negative,neutral
"Gayana bergaya sareng ekonomis ogé, mésér Calya",neutral,neutral,neutral,positive,positive,neutral
Avanza mangrupikeun mobil kuring anu paling bandel,neutral,positive,neutral,neutral,neutral,neutral
Mobil anu kualitasna goréng sapertos Wuling ngan ukur asup ka Indonésia.,neutral,neutral,negative,neutral,neutral,neutral
Service bengkel Daihatsu sae,neutral,neutral,neutral,neutral,neutral,positive
"Abdi gaduh Xenia Xi, dashboard nabrak tangkal, saatos dua dinten perbaikan di layanan Daihatsu resmi, langsung janten énggal deui, keren.",neutral,neutral,neutral,neutral,neutral,positive
"Cinyusu Fortuner nyaring, capé",neutral,neutral,neutral,negative,neutral,neutral
"Mobil esemka langkung sae, mobil nasional asli buatan lokal, harga terjangkau, irit BBM, mesinna oge tangguh.",positive,positive,positive,neutral,positive,neutral
"Enya kitu, eta Nissan, rada mahal tapi daya tahan na alus.",neutral,neutral,positive,neutral,negative,neutral
Fortuner henteu cocog pikeun pelajar kusabab desainna teuing flashy sareng mahal,neutral,neutral,neutral,negative,neutral,neutral
Palayanan langkung gancang di Bengkel Toyota,neutral,neutral,neutral,neutral,neutral,positive
"Honda Spacy bener-bener ekonomis, sumpah",positive,neutral,neutral,neutral,neutral,neutral
Teu tiasa bobo wengi dina mobil kusabab AC pisan nyaring,neutral,neutral,neutral,negative,neutral,neutral
"Eh tukang reparasi honda ieu mah leutik pisan, naha atuh gentos aki motorna ku nu aki aki-aki teu acan hurung trus aya nu ngadu’a terus kadinya deui.",neutral,neutral,neutral,neutral,neutral,negative
